project,t_per,x_per,l_per,o_per,s_per,count
bclwiki,0.0327546296296296,0.0657407407407407,0,0.00208333333333333,0.899421296296296,8640
kvwiki,0,0.0806641544983514,0,0.0124823363165332,0.906853509185115,8492
aswiki,0.000589692180681684,0.0370326689468098,0.000235876872272674,0.000353815308409011,0.961787946691827,8479
sowiki,0.070565721803612,0.0899413945700275,0.000717617509867241,0.00143523501973448,0.837340031096759,8361
tkwiki,0.00396110911055095,0.0384107550114032,0.00552154603288921,0.00120033609410635,0.95090625375105,8331
frrwiki,0.0106212177349636,0.0437198962578733,0.000370507595405706,0.000123502531801902,0.945164875879956,8097
tawikinews,0,0.174224638576548,0,0,0.825775361423452,8093
wuuwiki,0.00074719800747198,0.0378580323785803,0.00821917808219178,0.00186799501867995,0.951307596513076,8030
ladwiki,0.0173700463201235,0.042717447246526,0.00501801338136902,0.00424601132269686,0.930648481729285,7772
dewikiquote,0,0.0244353453969093,0,0,0.975564654603091,7571
mtwiki,0,0.0587273470500068,0,0,0.941272652949993,7339
dsbwiki,0,0,0,0.000546597430992074,0.999453402569008,7318
cawikinews,0,0,0,0,1,7291
miwiki,0,0.0517501715854496,0,0.000274536719286205,0.947975291695264,7285
tyvwiki,0.104227710339054,0.269708385656481,0.329845123482629,0.0417189898144272,0.254499790707409,7167
fiu_vrowiki,0.0490893568582812,0.0490893568582812,0.145987478656801,0,0.755833807626636,7028
ruewiki,0,0,0,0.000287315040942393,0.999712684959058,6961
acewiki,0,0,0,0.240581818181818,0.759418181818182,6875
enwikibooks,0,0.0324074074074074,0.00522700119474313,0.000149342891278375,0.962216248506571,6696
viwikivoyage,0.247387830362631,0.247387830362631,0,0.234173325138291,0.271051014136447,6508
cowiki,0,0.0187390821025885,0,0,0.981260917897411,6297
mediawikiwiki,0.0219993529602071,0.00113231963765772,0.0516014234875445,0.00177935943060498,0.923487544483986,6182
hewikivoyage,0.0918316419896856,0.00499085010813509,0.183663283979371,0.33288970221261,0.386624521710198,6011
csbwiki,0,0.000168236877523553,0,0,0.999831763122476,5944
lezwiki,0.0204081632653061,0.0042165626581211,0.0592005397200202,0.0136616630123124,0.90251307134424,5929
eswikivoyage,0.00493617021276596,0.000170212765957447,0.00953191489361702,0.368170212765957,0.617191489361702,5875
fawikinews,0,0.115904365904366,0,0,0.884095634095634,5772
ukwikisource,0.242924528301887,0.24455732946299,0.156023222060958,0,0.356494920174165,5512
bxrwiki,0.0549270072992701,0.424452554744526,0.00218978102189781,0.00638686131386861,0.512043795620438,5480
cdowiki,0,0,0,0.00165654334621756,0.998343456653782,5433
mdfwiki,0.0372291165030561,0.349879607334692,0.165586219670309,0.016484534172995,0.430820522318948,5399
trwikiquote,0.00112023898431665,0.00224047796863331,0.00224047796863331,0.000373412994772218,0.994025392083644,5356
svwikivoyage,0.238549261544214,0.251448868947467,0.0269209197980931,0.000560852495793606,0.482520097214433,5349
slwikisource,0.17085993240706,0.177243710101389,0,0.17085993240706,0.481036425084491,5326
mwlwiki,0,0,0,0,1,5302
skwikiquote,0,0.000188714851858841,0,0,0.999811285148141,5299
fawikiquote,0,0.00267840061220585,0,0,0.997321599387794,5227
elwikinews,0,0,0,0,1,5215
pagwiki,0.000193461017604953,0,0.000386922035209905,0.000193461017604953,0.99922615592958,5169
glkwiki,0,0.00193685841564982,0,0.000193685841564982,0.997869455742785,5163
angwiki,0.00775644754702346,0.0434361062633314,0,0,0.948807446189645,5157
nvwiki,0,0.0143870713441072,0,0,0.985612928655893,5074
krcwiki,0.00395726157499011,0.0435298773248912,0.0112781954887218,0.00633161851998417,0.934903047091413,5054
zeawiki,0,0,0,0.00019790223629527,0.999802097763705,5053
arwikinews,0,0.094562175129948,0,0,0.905437824870052,5002
pcdwiki,0.00060108194750551,0,0.00180324584251653,0.161089961931477,0.836505710278501,4991
ugwiki,0,0.0102204408817635,0,0.00200400801603206,0.987775551102204,4990
trwikinews,0,0,0,0,1,4974
dvwiki,0.00727566693613581,0.0430476960388036,0.00808407437348424,0.000202101859337106,0.941390460792239,4948
aywiki,0,0,0,0,1,4922
kowikisource,0,0.00986031224322103,0,0,0.990139687756779,4868
brwikisource,0.112770881548496,0.00631180307174416,0.699347780349253,0.0307174416158216,0.150852093414685,4753
lrcwiki,0.0545916208209903,0.0541684299619128,0.0241218789674143,0.0139652983495556,0.853152771900127,4726
stqwiki,0,0,0,0,1,4621
kwwiki,0,0,0,0,1,4567
fiwikivoyage,0.0562417291574768,0.0624172915747684,0.0264666960741067,0.394794883105426,0.460079400088222,4534
eowikisource,0,0.00420819490586932,0.774750830564784,0,0.221040974529347,4515
rmwiki,0,0,0,0,1,4504
svwikinews,0,0,0,0,1,4467
bswikiquote,0,0,0,0,1,4374
enwikiversity,0.000232558139534884,0.000232558139534884,0.000697674418604651,0.00209302325581395,0.996744186046512,4300
koiwiki,0,0,0,0,1,4259
kbdwiki,0.0248328557784145,0.188634192932187,0,0.000477554918815664,0.786055396370583,4188
cawikisource,0.126106724096674,0.156496769562096,0.112227805695142,0.000239291696578129,0.604929408949509,4179
vecwikisource,0.114545890246825,0.0381020848310568,0.783608914450036,0,0.0637431104720824,4173
gnwiki,0.00880841693173477,0.00709566919500856,0.0359677024712503,0.00269146072914118,0.945436750672865,4087
hewikiquote,0,0,0,0.150357406950949,0.849642593049051,4057
iewiki,0,0,0,0,1,4045
frpwiki,0.0251494023904382,0.0249003984063745,0.0627490039840637,0.00298804780876494,0.884213147410359,4016
huwikisource,0.0895902265207432,0.1074064647493,0,0,0.803003308729957,3929
lijwiki,0,0.0551724137931034,0,0,0.944827586206897,3915
kshwiki,0,0,0,0,1,3873
furwiki,0.00519210799584631,0.00519210799584631,0,0.000259605399792316,0.989356178608515,3852
bgwikiquote,0,0.0412506568575933,0,0,0.958749343142407,3806
kabwiki,0.00394321766561514,0.00394321766561514,0,0.0525762355415352,0.939537329127235,3804
nrmwiki,0,0,0,0,1,3777
lnwiki,0,0.000264830508474576,0,0,0.999735169491525,3776
gagwiki,0,0,0,0.000267809319764328,0.999732190680236,3734
lowiki,0.00107816711590297,0.00161725067385445,0,0.000539083557951483,0.996765498652291,3710
gomwiki,0.00189496480779643,0.00189496480779643,0,0.000270709258256632,0.995939361126151,3694
jawikisource,0.142233142233142,0.153426153426153,0,0.0267540267540268,0.677586677586678,3663
eowikinews,0,0,0,0,1,3617
arwikiversity,0,0,0,0,1,3466
extwiki,0,0,0,0,1,3448
ukwikinews,0,0,0,0.00507008648971071,0.994929913510289,3353
cbk_zamwiki,0,0.000603682463024449,0,0,0.999396317536976,3313
hywikiquote,0,0,0,0,1,3309
piwiki,0,0,0,0,1,3265
bewikisource,0,0,0,0,1,3217
snwiki,0.000328515111695138,0.000328515111695138,0,0.000657030223390276,0.998685939553219,3044
pflwiki,0.00168976005407232,0.00168976005407232,0.00202771206488679,0.000337952010814464,0.994254815816154,2959
fiwikinews,0,0,0,0,1,2957
arwikiquote,0.237529691211401,0.237869019341703,0,0.00339328130302002,0.521208008143875,2947
pdcwiki,0,0,0,0,1,2848
rwwiki,0,0,0,0,1,2833
eowikiquote,0,0,0,0.327781715095677,0.672218284904323,2822
bjnwiki,0,0,0,0,1,2790
elwikivoyage,0,0,0,0.451995685005394,0.548004314994606,2781
